epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.9872340559959412,9.999999747378752e-06,0.03414139524102211,1.0,1.0,0.012633259408175945,1.0
1,0.9914893507957458,9.999999747378752e-06,0.05378356948494911,1.0,1.0,0.02718965895473957,1.0
2,0.9914893507957458,9.999999747378752e-06,0.037525784224271774,1.0,1.0,0.03816097229719162,1.0
3,0.9829787015914917,3.499999820633093e-06,0.04321283474564552,1.0,1.0,0.04381188750267029,1.0
4,0.9914893507957458,3.499999820633093e-06,0.02897840552031994,1.0,1.0,0.043097835034132004,1.0
5,0.9957447052001953,3.499999820633093e-06,0.02221752144396305,1.0,1.0,0.04140402376651764,1.0
6,0.9957447052001953,1.2249998917468474e-06,0.03939904645085335,1.0,1.0,0.037429019808769226,1.0
7,0.9872340559959412,1.2249998917468474e-06,0.04307393357157707,0.9957447052001953,1.0,0.03313185274600983,1.0
